"Nazwa uczelni","Nazwa kierunku studiów","Podstawowe informacje","Liczba studentów","Udział kobiet wśród studentów","Liczba kobiet wśród studentów","Udział studentów cudzoziemców","Liczba studentów cudzoziemców"
"Uniwersytet WSB Merito w Poznaniu (Wydział Ekonomiczny w Szczecinie, Szczecin)(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",29,"24,1%",7,"27,6%",8
"Uniwersytet WSB Merito w Poznaniu (Wydział Zamiejscowy w Chorzowie, Chorzów)(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",104,"17,3%",18,"32,7%",34
"Uniwersytet WSB Merito w Poznaniu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",144,"25,0%",36,"45,1%",65
"Uniwersytet WSB Merito we Wrocławiu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",221,"14,5%",32,"63,8%",141
"Uniwersytet WSB Merito we Wrocławiu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",85,"28,2%",24,"52,9%",45
"Uniwersytet Warmińsko-Mazurski w Olsztynie(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",165,"7,9%",13,"2,4%",4
"Uniwersytet Warszawski(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",179,"16,2%",29,"5,0%",9
"Uniwersytet Wrocławski(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",93,"24,7%",23,"5,4%",5
"Uniwersytet Wrocławski(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",5,"0,0%",0,"0,0%",0
"Uniwersytet Zielonogórski(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",123,"13,0%",16,"3,3%",4
"Uniwersytet im. Adama Mickiewicza w Poznaniu(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",0,"",0,"",0
"Uniwersytet im. Adama Mickiewicza w Poznaniu(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",84,"19,0%",16,"6,0%",5
"Uniwersytet w Białymstoku (Filia Uniwersytetu w Białymstoku w Wilnie, Wydział Ekonomiczno-Informatyczny, Wilno)(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Uniwersytet w Białymstoku (Filia Uniwersytetu w Białymstoku w Wilnie, Wydział Ekonomiczno-Informatyczny, Wilno)(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",42,"7,1%",3,"100,0%",42
"Uniwersytet w Białymstoku(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",126,"19,0%",24,"10,3%",13
