"Nazwa uczelni","Nazwa kierunku studiów","Podstawowe informacje","Liczba studentów","Udział kobiet wśród studentów","Liczba kobiet wśród studentów","Udział studentów cudzoziemców","Liczba studentów cudzoziemców"
"Akademia Humanitas(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: ukraiński",25,"8,0%",2,"100,0%",25
"Akademia Kujawsko-Pomorska(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",2,"0,0%",0,"100,0%",2
"Akademia Kultury Społecznej i Medialnej w Toruniu - Akademia Nauk Stosowanych(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",6,"50,0%",3,"0,0%",0
"Akademia Marynarki Wojennej im. Bohaterów Westerplatte(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",51,"15,7%",8,"2,0%",1
"Akademia Mazowiecka w Płocku(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",58,"6,9%",4,"6,9%",4
"Akademia Nauk Stosowanych Stefana Batorego(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",22,"27,3%",6,"4,5%",1
"Akademia Nauk Stosowanych im. Hipolita Cegielskiego w Gnieźnie Uczelnia Państwowa(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",22,"22,7%",5,"13,6%",3
"Akademia Nauk Stosowanych im. Jana Amosa Komeńskiego w Lesznie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",38,"7,9%",3,"10,5%",4
"Akademia Nauk Stosowanych w Elblągu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",81,"14,8%",12,"8,6%",7
"Akademia Nauk Stosowanych w Nowym Sączu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",52,"7,7%",4,"5,8%",3
"Akademia Nauk Stosowanych w Wałczu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",32,"18,8%",6,"0,0%",0
"Akademia Tarnowska(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",101,"6,9%",7,"7,9%",8
"Akademia WIT w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",73,"13,7%",10,"35,6%",26
"Akademia WSB (Wydział Zamiejscowy w Cieszynie, Cieszyn)(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",23,"17,4%",4,"0,0%",0
"Akademia WSB(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",147,"10,2%",15,"96,6%",142
"Akademia WSB(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",73,"16,4%",12,"12,3%",9
"Akademia WSB(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: rosyjski",0,"",0,"",0
"Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",21,"19,0%",4,"0,0%",0
"Akademia Zamojska(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",15,"6,7%",1,"6,7%",1
"Akademia im. Jakuba z Paradyża(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",39,"10,3%",4,"25,6%",10
"Akademia Łomżyńska(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",38,"13,2%",5,"13,2%",5
"Akademia Śląska(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",49,"10,2%",5,"57,1%",28
"Collegium Da Vinci z siedzibą w Poznaniu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",86,"18,6%",16,"94,2%",81
"Collegium Da Vinci z siedzibą w Poznaniu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",133,"16,5%",22,"52,6%",70
"Collegium Witelona Uczelnia Państwowa(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",116,"21,6%",25,"7,8%",9
"Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: angielski",9,"11,1%",1,"77,8%",7
"Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",89,"19,1%",17,"18,0%",16
"Lubelska Akademia WSEI(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",47,"21,3%",10,"100,0%",47
"Lubelska Akademia WSEI(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Lubelska Akademia WSEI(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",129,"7,8%",10,"76,7%",99
"Małopolska Uczelnia Państwowa im. rotmistrza Witolda Pileckiego w Oświęcimiu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",26,"7,7%",2,"11,5%",3
"Menedżerska Akademia Nauk Stosowanych w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",200,"19,0%",38,"100,0%",200
"Menedżerska Akademia Nauk Stosowanych w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Menedżerska Akademia Nauk Stosowanych w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: rosyjski",0,"",0,"",0
"Państwowa Akademia Nauk Stosowanych im. Ignacego Mościckiego w Ciechanowie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",30,"10,0%",3,"10,0%",3
"Państwowa Akademia Nauk Stosowanych im. ks. Bronisława Markiewicza w Jarosławiu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",52,"3,8%",2,"9,6%",5
"Państwowa Akademia Nauk Stosowanych w Krośnie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",64,"15,6%",10,"3,1%",2
"Państwowa Akademia Nauk Stosowanych w Nysie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",39,"5,1%",2,"5,1%",2
"Państwowa Akademia Nauk Stosowanych we Włocławku(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",40,"5,0%",2,"0,0%",0
"Politechnika Białostocka(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",284,"9,9%",28,"3,5%",10
